,,,,,план 10,план 11,план 12,план 01,план 02,план 04,Октябрь 2021,,,Ноябрь 2021,,,Декабрь 2021,,,Январь 2022,,,Март 2022,,,Май 2022,,,,Июль 2022,,,Август 2022,,,,,Сентябрь 2022,,,,,Октябрь 2022,,,,,Ноябрь 2022,,,,,Декабрь 2022,,,,,Январь 2023,,,,,Февраль 2023,,,,,Март 2023,,,,,Апрель 2023,,,,,Май 2023,,,,,Июнь 2023,,,,,Июль 2023,,,,Август 2023,,,,,,Сентябрь 2023,,,,,Октябрь 2023,,,,,Ноябрь 2023,,,,,Декабрь 2023,,,,,Январь 2024,,,,,Февраль 2024,,,,Март 2024,,,,Апрель 2024,,,,Май 2024,,,,Июнь 2024,,,,Июль 2024,,,Август 2024,,,,Сентябрь 2024,,,,Октябрь 2024,,,,Ноябрь 2024,,,,Декабрь 2024,,,,Январь 2025,,,,Февраль 2025,,,,Март 2025,,,,Апрель 2025,,,,Май 2025,,,,Июнь 2025,,,,Июль 2025,,,,Август 2025,,,,Сентябрь 2025,,,,Октябрь 2025,,,,Ноябрь 2025,,,,Декабрь 2025,,,,Январь 2026,,,,Февраль 2026,,,,Март 2026,,,,Апрель 2026,,,,Май 2026,,,,Июнь 2026,,,,Июль 2026,,,,Август 2026,,,
Челябинск,https://yandex.ru/maps/org/stalmetural/109304409570/reviews/,"улица Карла Маркса, 52",#REF!,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,1,0,1,2,2,,3,4,3,3,3,6,"4,2",2,1,,7,"4,3",2,0,,7,"4,3",2,0,0,7,"4,3",2,0,,7,"4,3",1,1,1,4,"4,4",,,,3,4,2,2,,1,"4,1",2,3,4,0,"4,4",1,0,,4,"4,4",1,1,2,8,"4,4",1,1,1,9,"4,4",1,2,,9,"4,4",1,1,3,9,"4,4",1,1,,13,"4,5",1,1,,14,"4,6",,,,14,"4,7",,,14,"4,7",,,14,"4,7",,,15,"4,7",,,15,"4,7",,,15,"4,7",,15,"4,7",1,16,"4,7",Инна,,16,"4,7",-,,16,"4,7",-,,16,"4,7",-,,16,"4,7",-,,16,"4,7",-,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",Иван,,16,"4,7",-,,16,"4,5",,,16,"4,5",,,16,"4,5",,,16,"4,5",,1,17,"4,5",Инна,2,19,"4,6",Иван,,19,"4,6",Инна,,19,"4,6",,1,20,"4,7",Инна,,20,"4,7",Инна,,20,"4,7",,,20,"4,7",
Уфа,https://yandex.ru/maps/org/stalmetural/150969111377/reviews/,"улица Юрия Гагарина, 6",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,2,2,нет,2,0,-1,2,нет,,2,2,4,"4,2",2,2,2,6,"4,4",1,1,,7,"4,4",1,1,1,8,"4,4",1,1,2,9,"4,4",1,-2,,7,"4,4",1,0,,7,"4,4",1,0,,7,"4,4",1,1,1,8,"4,4",2,0,,8,"4,4",1,2,,10,"4,5",1,1,1,11,"4,6",,1,12,"4,6",1,1,13,"4,6",,,14,"4,7",,,14,"4,7",,,14,"4,7",,14,"4,7",2,16,"4,7",Инна,,16,"4,7",-,,16,"4,7",-,,16,"4,7",-,,16,"4,7",-,,16,"4,7",-,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",Инна,,16,"4,7",-,,16,"4,6",,,16,"4,6",,,16,"4,6",,,16,"4,6",,1,17,"4,7",Инна,,17,"4,7",,,17,"4,7",,,17,"4,7",,,17,"4,7",,,17,"4,7",,,17,"4,7",,,17,"4,7",
Самара,https://yandex.ru/maps/org/stalmetural/106823264193/reviews/,"улица Ярмарочная, 55",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,2,2,нет,,,,2,нет,,,,2,нет,,,,2,нет,,,,2,нет,2,1,1,3,"4,2",2,2,2,5,"4,2",2,1,2,6,"4,2",1,1,2,7,"4,3",1,1,1,8,"4,4",2,1,1,9,"4,4",1,1,,10,"4,5",1,0,,10,"4,6",1,0,,10,"4,6",1,1,11,"4,6",,,11,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,12,"4,7",1,13,"4,7",Инна,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",Инна,,13,"4,7",-,,13,"4,6",,,13,"4,6",Иван,,13,"4,6",,,13,"4,6",,1,14,"4,7",Инна,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",
Ростов-на-Дону,https://yandex.ru/maps/org/stalmetural/151218579478/reviews/,"улица ​Текучёва, 234",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,2,2,2,5,,0,,2,5,,,,2,0,1,1,1,3,"4,2",2,2,2,5,"4,3",1,1,1,6,"4,4",,,,6,"4,4",1,1,,7,"4,4",1,1,,8,"4,4",1,2,2,10,"4,4",,,,10,"4,5",,,,9,"4,5",,,,9,"4,5",,,,9,"4,5",1,1,,10,"4,5",1,1,,11,"4,5",,,,11,"4,7",,,11,"4,7",,,11,"4,7",1,1,12,"4,7",,1,13,"4,7",,,13,"4,7",,13,"4,7",1,14,"4,7",Инна,,14,"4,7",-,,14,"4,7",-,,14,"4,7",-,,14,"4,7",-,,14,"4,7",-,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",Инна,,14,"4,7",-,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",
Краснодар,https://yandex.ru/maps/org/stalmetural/4393581902/reviews/,"улица ​Красноармейская, 43",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,2,2,2,3,"4,2",2,2,,5,"4,3",2,1,,6,"4,4",1,0,0,6,"4,4",1,0,,6,"4,4",,2,2,8,"4,5",,,,8,"4,5",,,,8,"4,5",,,,8,"4,5",1,2,2,10,"4,5",,,,10,"4,5",,,,9,"4,4",1,1,,10,"4,4",2,2,,12,"4,4",1,1,,13,"4,5",1,1,,14,"4,6",,,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,14,"4,7",1,15,"4,7",Инна,,15,"4,7",-,,15,"4,7",-,,15,"4,7",-,,15,"4,7",-,,15,"4,7",-,,15,"4,7",,,15,"4,7",,,15,"4,7",,,15,"4,7",,,15,"4,7",,,15,"4,7",Инна,,15,"4,7",-,,15,"4,6",,,15,"4,6",,,15,"4,6",,,15,"4,6",,,15,"4,6",Инна,1,16,"4,7",Иван,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",
Омск,https://yandex.ru/maps/org/stalmetural/37158767109/reviews/,"улица ​Декабристов, 45",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,1,2,нет,,,,2,нет,1,1,1,3,"4,2",2,2,2,5,"4,2",2,2,,7,"4,4",1,1,,8,"4,4",1,1,1,9,"4,4",1,1,,10,"4,4",1,1,1,8,"4,4",,,,8,"4,5",,,,8,"4,5",1,2,,10,"4,5",1,1,,11,"4,6",1,1,1,12,"4,6",,,12,"4,7",,,12,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,13,"4,7",1,14,"4,7",Инна,,14,"4,7",-,,14,"4,7",-,,14,"4,7",-,,14,"4,7",-,,14,"4,7",-,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",Инна,,14,"4,7",-,,14,"4,6",,,14,"4,6",,,14,"4,6",,,14,"4,6",,,14,"4,6",Инна,1,15,"4,6",Иван,1,16,"4,6",Инна,,16,"4,6",,,16,"4,7",Инна,,16,"4,7",Инна,,16,"4,7",,,16,"4,7",
Воронеж,https://yandex.ru/maps/org/stalmetural/143885893091/reviews/,"​улица Ленина, 104Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,0,0,,,1,1,,,1,,,1,,Инна,,1,,Инна,1,2,,Инна,,2,,,,2,,,,2,,,,2,,,,2,,Инна,,2,,-,,2,"3,9",-,,2,"3,9",-,,2,"3,9",Иван,,2,"3,9",-,,2,4,,1,3,4,Инна,,3,4,,1,4,4,Иван,,4,4,,2,6,"4,2",Иван,2,8,"4,3",Инна,,8,"4,2",,1,9,"4,3",Инна,,9,"4,3",Инна,,9,"4,3",,,9,"4,3",
Пермь,https://yandex.ru/maps/org/stalmetural/60916044440/reviews/,улица Сухобруса 27,#REF!,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,,,0,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,Инна,1,2,,Инна,,2,,-,1,3,"4,2",Инна,,3,"4,2",-,,3,"4,2",-,,3,"4,2",,1,4,"4,2",Инна,,4,"4,2",-,,4,"4,3",Инна,,4,"4,2",-,1,5,"4,3",Инна,,5,"4,3",-,,5,"4,3",,,5,"4,3",Иван,1,6,"4,3",Иван,1,7,"4,3",Инна,,7,"4,3",,,7,"4,3",Иван,,7,"4,3",Инна,,7,"4,3",,,7,"4,3",Инна,,7,"4,3",Инна,,7,"4,3",,,7,"4,3",Иван
Волгоград,https://yandex.ru/maps/org/stalmetural/125165367563/reviews/,"улица ​Калинина, 2А",#REF!,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,5,2,2,2,3,"4,2",2,0,,3,"4,2",2,2,,5,"4,3",,0,1,5,"4,3",2,1,1,6,"4,4",1,2,2,8,"4,5",,,,8,"4,5",,,,8,"4,5",,,,8,"4,5",,,,8,"4,5",,,,8,"4,5",,,,7,"4,4",1,1,,8,"4,4",2,2,2,10,"4,4",,,,10,"4,6",1,1,,11,"4,6",1,1,1,12,"4,6",,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,12,"4,7",,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,1,13,"4,7",Иван,,13,"4,7",-,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",Инна
Саратов,https://yandex.ru/maps/org/stalmetural/111407283130/reviews/,"улица ​Чернышевского, 90",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,0,0,,,2,2,,,2,,,2,,-,1,3,"4,2",Инна,,3,"4,2",-,,3,"4,2",Инна,,3,"4,2",Инна,1,4,"4,2",Инна,,4,"4,2",-,1,5,"4,3",Инна,,5,"4,3",-,1,6,"4,3",Инна,,6,"4,3",-,1,7,"4,3",Инна,,7,"4,3",-,,7,"4,3",,1,8,"4,3",Иван,,8,"4,3",-,,8,"4,3",Инна,,8,"4,3",,,8,"4,3",Иван,,8,"4,3",Инна,,8,"4,3",,1,9,"4,3",Инна,,9,"4,3",Инна,,9,"4,3",Инна,,9,"4,3",
Тюмень,https://yandex.ru/maps/org/stalmetural/22517749446/reviews/,"улица Коммунистическая, 16А",#REF!,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,1,2,,Инна,,2,,-,1,3,,Инна,,3,,-,,3,,-,,3,,-,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,1,4,"4,2",Инна,,4,"4,3",,1,5,"4,3",Инна,,5,"4,3",-,1,6,"4,3",Инна,,6,"4,3",,1,7,"4,3",Иван,2,9,"4,4",Инна,,9,"4,3",,,9,"4,3",Инна,1,10,"4,3",Инна,,10,"4,3",,,10,"4,3",
