domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp,yandex_map_url,twogis_map_url,google_map_url
mettransterminal.kz,Алматы,,,(727) 317-28-68,7273172868,almaty@mtt.kz,"пр. Сакена Сейфуллина 498, оф. 407",Казахстан,(708) 987-98-05,(708) 987-98-05,https://yandex.ru/maps/org/mettransterminal/37432830532/?indoorLevel=1&ll=76.933742%2C43.251512&z=17,https://2gis.kz/almaty/firm/70000001025927899,
atyrau.mtt.kz,Атырау,,,(7122) 75-54-86,7122755486,atyrau@mtt.kz,"ул. Куттыгай батыра, д. 7",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/153381632395/?ll=51.966614%2C47.112368&z=16,,
mtt-karaganda.kz,Караганда,,,(7212) 97-45-77,7212974577,karaganda@mtt.kz,"ул. Складская, 1, оф. 102",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/1168950850/?ll=73.120932%2C49.810946&z=16,https://2gis.kz/karaganda/firm/70000001025969314,
kostanay.mtt.kz,Костанай,,,(708) 731-48-08,7087314808,kostanay@mtt.kz,"ул. Базовая, д. 1",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/44952259233/?ll=63.602780%2C53.165117&z=16,https://2gis.kz/kostanay/firm/70000001044787709,
kyzylorda.mtt.kz,Кызылорда,,,(7242) 92-50-00,7242925000,kyzylorda@mtt.kz,"ул. Жаппаспай батыра, д. 137Е",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/15644956031/?ll=65.537688%2C44.845944&z=16,,
ns.mtt.kz,Нур-Султан (Астана),,,(7172) 62-88-58,7172628858,astana@mtt.kz,"ул. Сыганак, д. 60/4, блок Y, оф. 405-406",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/244574704853/?ll=71.421850%2C51.123747&z=16,https://2gis.kz/nur_sultan/firm/70000001018121322,"https://www.google.com/maps/place/%D0%9C%D0%B5%D1%82%D0%A2%D1%80%D0%B0%D0%BD%D1%81%D0%A2%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB/@51.1576483,71.455897,17.08z/data=!4m6!3m5!1s0x42458138a2efffff:0x332179dd568b6185!8m2!3d51.1564433!4d71.458563!16s%2Fg%2F1ptvx0_v3?entry=ttu"
pavlodar.mtt.kz,Павлодар,,,(7182) 78-22-38,7182782238,pavlodar@mtt.kz,"ул. Торговая, д. 7А",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/28148056444/?ll=76.943085%2C52.307586&z=16,https://2gis.kz/pavlodar/firm/70000001045088749,
petropavl.mtt.kz,Петропавловск,,,(708) 731-48-08,7087314808,petropavl@mtt.kz,"ул. Ярослава Гашека, д. 18",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/169958413737/?ll=69.150182%2C54.897422&z=16,https://2gis.kz/petropavlovsk/firm/70000001045092710,
semey.mtt.kz,Семей,,,(708) 731-48-06,7087314806,semey@mtt.kz,"ул. Красина, д. 76А",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/48431064244/?ll=79.510178%2C49.220905&z=7.8,,
taraz.mtt.kz,Тараз,,,(7262) 97-00-15,7262970015,taraz@mtt.kz,"ул. Мамбет Батыра, д. 1А",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/51705253283/?ll=71.412481%2C42.918035&z=16,,
uralsk.mtt.kz,Уральск,,,(708) 731-48-06,7087314806,uralsk@mtt.kz,"ул. Шолохова, 2/2",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/15036315786/?display-text=%D0%BC%D0%B5%D1%82%D1%82%D1%80%D0%B0%D0%BD%D1%81%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB&ll=51.368722%2C51.241474&mode=search&sctx=ZAAAAAgBEAAaKAoSCcU6Vb5ntElAEeT2yycrnklAEhIJIy9rYoGv2z8R6zU9KChFxT8iBgABAgMEBSgKOABAwVBIAWoCa3qdAc3MTD2gAQCoAQC9Ae9l9mvCAQWK8e%2BBOOoBAPIBAPgBAIICINC80LXRgtGC0YDQsNC90YHRgtC10YDQvNC40L3QsNC7igIAkgIAmgIMZGVza3RvcC1tYXBz&sll=51.368722%2C51.241474&sspn=0.015407%2C0.005327&text=%D0%BC%D0%B5%D1%82%D1%82%D1%80%D0%B0%D0%BD%D1%81%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB&utm_source=share&z=17,https://2gis.kz/uralsk/firm/70000001025960894,
ustkamen.mtt.kz,Усть-Каменогорск,,,(7232) 91-02-89,7232910289,ustkamen@mtt.kz,"ул. Бажова, 52/2",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/139721808162/?ll=82.603989%2C49.977375&z=16,https://2gis.kz/ustkam/firm/70000001045089818,
mtt-shymkent.kz,Шымкент,,,(7252) 61-22-82,7252612282,shimkent@mtt.kz,"ул. Байтурсынова, д. 18",Казахстан,(708) 987-98-05,(708) 987-98-05,https://yandex.ru/maps/org/mettransterminal/9658630175/?display-text=%D0%BC%D0%B5%D1%82%D1%82%D1%80%D0%B0%D0%BD%D1%81%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB&ll=69.594411%2C42.325022&mode=search&sctx=ZAAAAAgBEAAaKAoSCciyYOKPZVFAEQ%2B3Q8NiKEVAEhIJIy9rYoGv2z8R9l0R%2FG8lyT8iBgABAgMEBSgKOABA3QFIAWoCa3qdAc3MTD2gAQCoAQC9Ae9l9mvCAQWfgMz9I%2BoBAPIBAPgBAIICINC80LXRgtGC0YDQsNC90YHRgtC10YDQvNC40L3QsNC7igIAkgIAmgIMZGVza3RvcC1tYXBz&sll=69.594411%2C42.325022&sspn=0.022871%2C0.009349&text=%D0%BC%D0%B5%D1%82%D1%82%D1%80%D0%B0%D0%BD%D1%81%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB&utm_source=share&z=16.43,https://2gis.kz/shymkent/firm/70000001045090869,
mtt.kg,Бишкек,,,(996) 312-97-96-78,312979678,info@mtt.kg,"ул. Максима Горького, д. 108, офис 30а",Киргизия,996-779-89-32-58,996-779-89-32-58,https://yandex.ru/maps/org/mettransterminal/141853309650/?ll=74.612432%2C42.856555&z=17.05,https://2gis.kg/bishkek/firm/70000001067684501,https://goo.gl/maps/Aobs2wAkHdiA5FT96
osh.mtt.kg,Ош,,,(996) 312-97-96-78,312979678,osh@mtt.kg,"ул. Мырзалы Аматова, 1Б",Киргизия,996-779-89-32-58,996-779-89-32-58,https://yandex.ru/maps/org/mettransterminal/99552509829/?ll=72.802759%2C40.519197&z=17.05,https://2gis.kg/osh/firm/70000001077461073?m=72.802921%2C40.519355%2F16,https://goo.gl/maps/cW8StjV1qr2MxbZv7
abakan.met-trans.ru,Абакан,,,(800) 700-35-86,8007003586,abakan@met-trans.ru,"ул. Складская, д. 9Б",Россия,(962) 829-87-48,(962) 829-87-48,https://yandex.ru/profile/115536416653,https://2gis.ru/abakan/firm/70000001079009341,
arhangelsk.met-trans.ru,Архангельск,,,(8182) 46-08-86,8182460886,arhangelsk@met-trans.ru,"Талажское шоссе, д. 45",Россия,(960) 283-58-33,(960) 283-58-33,https://yandex.ru/profile/131828004620,,
astrahan.met-trans.ru,Астрахань,,,(800) 700-36-68,8007003668,astrahan@met-trans.ru,"ул. Рождественского, д. 5",Россия,(962) 766-80-86,(962) 766-80-86,https://yandex.ru/profile/216474811195,https://2gis.ru/astrakhan/firm/70000001044686938,
barnaul.met-trans.ru,Барнаул,,,(3852) 25-03-68,3852250368,barnaul@met-trans.ru,"ул. Солнечная Поляна, д. 22",Россия,(962) 829-87-48,(962) 829-87-48,https://yandex.ru/maps/org/mettransterminal/80552352810/?ll=83.662581%2C53.374256&z=16,https://2gis.ru/barnaul/firm/70000001031110784,https://maps.app.goo.gl/cpuVYBmyoPm8s7HY6
belgorod.met-trans.ru,Белгород,,,(800) 700-36-68,8007003668,belgorod@met-trans.ru,"ул. Коммунальная, д. 18к1",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/25082191580,https://2gis.ru/belgorod/firm/70000001079602992,
blagovechensk.met-trans.ru,Благовещенск,,,(800) 700-62-38,8007006238,blagovechensk@met-trans.ru,"ул. Чайковского, д. 209В/1",Россия,(902) 409-26-58,(902) 409-26-58,https://yandex.ru/profile/42734223143,https://2gis.ru/blagoveshensk/firm/70000001079602831,
bryansk.met-trans.ru,Брянск,,,(800) 700-36-68,8007003668,bryansk@met-trans.ru,"ул. Литейная, д. 15",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/234005787211,https://2gis.ru/bryansk/firm/70000001080140064,
novgorod.met-trans.ru,Великий Новгород,,,(8162) 68-64-07,8162686407,novgorod@met-trans.ru,"ул. Великая, д. 18, оф. 19",Россия,(960) 283-58-33,(960) 283-58-33,https://yandex.ru/maps/org/mettransterminal/48394782077/?ll=31.276185%2C58.539818&z=16,https://2gis.ru/v_novgorod/firm/70000001044687001,
vladivostok.met-trans.ru,Владивосток,,,(423) 292-34-86,4232923486,vladivostok@met-trans.ru,"ул. Калинина, д. 42, оф. 316",Россия,(962) 829-87-48,(962) 829-87-48,https://yandex.ru/maps/org/mettransterminal/104963494479/?ll=131.897424%2C43.103294&z=16,https://2gis.ru/vladivostok/firm/70000001036082374,
vladimir.met-trans.ru,Владимир,,,(800) 700-36-68,8007003668,vladimir@met-trans.ru,"ул. Гастелло, д. 8А",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/239366801586,,
volgograd.met-trans.ru,Волгоград,,,(8442) 60-92-88,8442609288,volgograd@met-trans.ru,"ул. Томская, д. 4А",Россия,(962) 766-80-86,(962) 766-80-86,https://yandex.ru/maps/org/mettransterminal/125679991236/?ll=44.439037%2C48.754377&z=16,https://2gis.ru/volgograd/firm/70000001034853844,
volgodonsk.met-trans.ru,Волгодонск,,,(800) 700-36-68,8007003668,volgodonsk@met-trans.ru,"пер. Вокзальный, д. 19В",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/114445880380,https://2gis.ru/volgodonsk/firm/70000001080324115,
volzhsky.met-trans.ru,Волжский,,,(800) 700-36-68,8007003668,volzhsky@met-trans.ru,"ул. Горького, д. 45",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/127438711777,https://2gis.ru/volzhskiy/firm/70000001080325921,
vologda.met-trans.ru,Вологда,,,(800) 700-36-68,8007003668,vologda@met-trans.ru,"ул. Северная, д. 27",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/41167064210,https://2gis.ru/vologda/firm/70000001080324552,
voronezh.met-trans.ru,Воронеж,,,(473) 228-50-87,4732285087,voronezh@met-trans.ru,"ул. 9 января, д. 211А",Россия,(902) 409-26-58,(902) 409-26-58,https://yandex.ru/maps/org/mettransterminal/191846388273/?ll=39.130740%2C51.678342&z=14,https://2gis.ru/voronezh/firm/70000001034580150,
ekb.met-trans.ru,Екатеринбург,,,(343) 200-55-88,3432005588,ekb@met-trans.ru,"ул. Машиностроителей, д. 19, оф. 599",Россия,(902) 409-26-58,(950) 639-58-88,https://yandex.ru/maps/org/mettransterminal/6060275595/?ll=60.590496%2C56.884754&z=13,https://2gis.ru/ekaterinburg/firm/1267165676440504,https://goo.gl/maps/FwdK59YEwJMi8JKq8
ivanovo.met-trans.ru,Иваново,,,(800) 700-36-68,8007003668,ivanovo@met-trans.ru,"ул. Станкостроителей, д. 3Б",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/203106970412,https://2gis.ru/ivanovo/firm/70000001080620913,
izhevsk.met-trans.ru,Ижевск,,,(3412) 32-26-80,3412322680,izhevsk@met-trans.ru,"ул. Автозаводская, д. 5А",Россия,(964) 190-27-38,(964) 190-27-38,https://yandex.ru/maps/org/mettransterminal/214417114891/?ll=53.309632%2C56.886263&z=16,https://2gis.ru/izhevsk/firm/70000001034640070,
irkutsk.met-trans.ru,Иркутск,,,(3952) 58-06-88,3952580688,irkutsk@met-trans.ru,"ул. Фридриха Энгельса, д. 8, к. 602-5",Россия,(962) 829-87-48,(962) 829-87-48,https://yandex.ru/maps/org/mettransterminal/161530319827/?ll=104.304250%2C52.284999&z=16,https://2gis.ru/irkutsk/firm/70000001056210367,
ola.met-trans.ru,Йошкар-Ола,,,(800) 700-35-86,8007003586,ola@met-trans.ru,"ул. Строителей, д. 99Б",Россия,(962) 829-87-48,(962) 829-87-48,https://yandex.ru/profile/211104946018,https://2gis.ru/yoshkarola/firm/70000001080552677,
kazan.met-trans.ru,Казань,,,(843) 216-62-56,8432166256,kazan@met-trans.ru,"ул. Аделя Кутуя, д. 157",Россия,(963) 109-82-78,(963) 109-82-78,https://yandex.ru/maps/org/mettransterminal/211961929755/?ll=49.189382%2C55.772710&z=16,https://2gis.ru/kazan/firm/70000001029343961,https://goo.gl/maps/2RQbnzxMKsuQ8CM27
kaliningrad.met-trans.ru,Калининград,,,(4012) 37-64-98,4012376498,kaliningrad@met-trans.ru,"ул. Сергеева, д. 14, оф. 339",Россия,(960) 283-58-33,(960) 283-58-33,https://yandex.ru/maps/org/mettransterminal/75913535531/?ll=20.518888%2C54.719586&z=14,https://2gis.ru/kaliningrad/firm/70000001034878943,
kaluga.met-trans.ru,Калуга,,,(800) 700-36-68,8007003668,kaluga@met-trans.ru,"ул. Московская, д. 304",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/63746170688,https://2gis.ru/kaluga/firm/70000001081093619,
kemerovo.met-trans.ru,Кемерово,,,(3842) 49-20-68,3842492068,kemerovo@met-trans.ru,"пр-кт Кузнецкий, д. 17, оф. 309/1",Россия,(962) 829-87-48,(962) 829-87-48,https://yandex.ru/maps/org/mettransterminal/237650514394/?ll=86.070076%2C55.361810&z=16,https://2gis.ru/kemerovo/firm/70000001034791871,
kirov.met-trans.ru,Киров,,,(8332) 74-62-68,8332746268,kirov@met-trans.ru,"ул. Производственная, д. 35",Россия,(963) 109-82-78,(963) 109-82-78,https://yandex.ru/maps/org/mettransterminal/135748874625/?ll=49.608895%2C58.566472&z=13,https://2gis.ru/kirov/firm/70000001044687100,
kostroma.met-trans.ru,Кострома,,,(800) 700-36-68,8007003668,kostroma@met-trans.ru,"ул. Зеленая, д. 1",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/223031464236,https://2gis.ru/kostroma/firm/70000001081093611,
krasnodar.met-trans.ru,Краснодар,,,(861) 944-60-08,8619446008,krasnodar@met-trans.ru,"ул. им. Мачуги В.Н., д. 86, помещение 1118",Россия,(962) 766-80-86,(962) 766-80-86,https://yandex.ru/maps/org/mettransterminal/143275541081/?ll=39.085564%2C45.013829&z=17,https://2gis.ru/krasnodar/firm/70000001033691200,"https://www.google.com/maps/place/%D0%9C%D0%B5%D1%82%D0%A2%D1%80%D0%B0%D0%BD%D1%81%D0%A2%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB/@45.0406815,39.0862918,17z/data=!4m6!3m5!1s0x40f0510dbafe7f1b:0x9b377e98139bf605!8m2!3d45.0408482!4d39.0869598!16s%2Fg%2F11gh_96qbg?entry=ttu"
krasnoyarsk.met-trans.ru,Красноярск,,,(391) 272-82-85,3912728285,krasnoyarsk@met-trans.ru,"ул. 78-й Добровольческой Бригады, д. 14А",Россия,(962) 829-87-48,(962) 829-87-48,https://yandex.ru/maps/org/mettransterminal/118420258709/?ll=92.910621%2C56.043372&z=16,,"https://www.google.com/maps/place/%D0%9C%D0%95%D0%A2%D0%A2%D0%A0%D0%90%D0%9D%D0%A1%D0%A2%D0%95%D0%A0%D0%9C%D0%98%D0%9D%D0%90%D0%9B,+%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0+%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9/@55.9848317,92.9365065,18.29z/data=!4m6!3m5!1s0x5cd7b00479428a41:0x49f817aea492dfaa!8m2!3d55.9841959!4d92.9379477!16s%2Fg%2F11r7nmb9_b?entry=ttu"
kurgan.met-trans.ru,Курган,,,(3522) 22-91-52,3522229152,kurgan@met-trans.ru,"ул. Дзержинского, д. 57Б",Россия,(902) 409-26-58,(902) 409-26-58,https://yandex.ru/maps/org/mettransterminal/59504814224/?ll=65.360243%2C55.463554&z=16,https://2gis.ru/kurgan/firm/70000001044687159,
kursk.met-trans.ru,Курск,,,(800) 700-36-68,8007003668,kursk@met-trans.ru,улица Энгельса д. 109,Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/168095479814,https://2gis.ru/kursk/firm/70000001081266309,
lipetsk.met-trans.ru,Липецк,,,(4742) 90-26-98,4742902698,lipetsk@met-trans.ru,"ул. Юношеская, д. 50, оф. 2.5",Россия,(902) 409-26-58,(902) 409-26-58,https://yandex.ru/profile/154703109450,https://2gis.ru/lipetsk/firm/70000001044687247,
magnitogorsk.met-trans.ru,Магнитогорск,,,(3519) 45-02-26,3519450226,magnitogorsk@met-trans.ru,"ул. Вокзальная, д. 1",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/maps/org/mettransterminal/194214804188/?ll=58.941223%2C53.434928&z=16,https://2gis.ru/magnitogorsk/firm/70000001048216506,
mahachkala.met-trans.ru,Махачкала,,,8 (8722) 52-29-08,8722522908,mahachkala@met-trans.ru,"ул. Абубакарова, д. 115А, оф. 408",Россия,(962) 766-80-86,(962) 766-80-86,https://yandex.ru/maps/org/mettransterminal/117761612915/?ll=47.490094%2C42.968192&z=16,,
met-trans.ru,Москва,,,(495) 755-38-26,4957553826,moscow@met-trans.ru,"Рязанский пр., д. 3Б",Россия,(903) 728-63-85,(903) 728-63-85,https://yandex.ru/maps/org/mettransterminal/1399197864/?ll=37.760070%2C55.725313&z=16,https://2gis.ru/moscow/firm/70000001025260440,"https://www.google.com/maps/place/%D0%9C%D0%B5%D1%82%D0%A2%D1%80%D0%B0%D0%BD%D1%81%D0%A2%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB/@55.7252946,37.7576736,17.38z/data=!4m6!3m5!1s0x414ab57228234b49:0x2924362119e28749!8m2!3d55.725219!4d37.760088!16s%2Fg%2F11g19rdjsw?entry=ttu"
murmansk.met-trans.ru,Мурманск,,,(8152) 60-16-88,8152601688,murmansk@met-trans.ru,"ул. Домостроительная, д. 20к1, оф. №3-6",Россия,(960) 283-58-33,(960) 283-58-33,https://yandex.ru/maps/org/mettransterminal/180920859426/?ll=33.143423%2C68.988701&z=16,,
chelny.met-trans.ru,Набережные Челны,,,(8552) 20-03-86,8552200386,chelny@met-trans.ru,"ул. Гидростроителей, д.14, оф. 19",Россия,(963) 109-82-78,(963) 109-82-78,https://yandex.ru/maps/org/mettransterminal/237953279853/?ll=52.296080%2C55.685427&z=16,,
nizhnevartovsk.met-trans.ru,Нижневартовск,,,(3466) 22-00-68,3466220068,nizhnevartovsk@met-trans.ru,"ул. Индустриальная, д. 107с4",Россия,(902) 409-26-58,(902) 409-26-58,https://yandex.ru/maps/org/mettransterminal/128337897312/?ll=76.518299%2C60.960538&z=16,https://2gis.ru/nizhnevartovsk/firm/70000001045748993,"https://www.google.ru/maps/place/%D0%9C%D0%B5%D1%82%D1%82%D1%80%D0%B0%D0%BD%D1%81%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB/@60.961636,76.5268844,18z/data=!4m6!3m5!1s0x436d3e9469f441b1:0x137ace2514fad9eb!8m2!3d60.9615447!4d76.5285001!16s%2Fg%2F11rylm_6lr?hl=ru&entry=ttu"
nn.met-trans.ru,Нижний Новгород,,,(831) 213-68-28,8312136828,nn@met-trans.ru,"ул. Чехова, д. 21",Россия,(963) 109-82-78,(963) 109-82-78,https://yandex.ru/maps/org/mettransterminal/59828609062/?ll=43.928803%2C56.325215&z=16,https://2gis.ru/n_novgorod/firm/70000001024609672,"https://www.google.com/maps/place/%D0%9C%D0%B5%D1%82%D0%A2%D1%80%D0%B0%D0%BD%D1%81%D0%A2%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB/@56.3089264,43.8626164,17.58z/data=!4m6!3m5!1s0x414e29e4f7504ea1:0x174f519e0ddc5a0a!8m2!3d56.3088851!4d43.8652837!16s%2Fg%2F11f03c05jn?entry=ttu"
novokuznetsk.met-trans.ru,Новокузнецк,,,(3843) 20-96-50,3843209650,novokuznetsk@met-trans.ru,"пр-т Строителей, д. 19",Россия,(962) 829-87-48,(962) 829-87-48,https://yandex.ru/maps/org/mettransterminal/155240205719/?ll=87.111573%2C53.768209&z=16,https://2gis.ru/novokuznetsk/firm/70000001044687655,"https://www.google.ru/maps/place/%D0%9C%D0%B5%D1%82%D1%82%D1%80%D0%B0%D0%BD%D1%81%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB/@53.7681248,87.1108249,19z/data=!4m6!3m5!1s0x42d0c0dd44500001:0x333e63664509c746!8m2!3d53.7681897!4d87.11137!16s%2Fg%2F11sy73h92n?hl=ru&entry=ttu"
novorossiysk.met-trans.ru,Новороссийск,,,(800) 700-36-68,8007003668,novorossiysk@met-trans.ru,"ул. Чкалова, д. 48",Россия,(962) 766-80-86,(962) 766-80-86,https://yandex.ru/profile/96785901419,https://2gis.ru/novorossiysk/firm/70000001081570664,
nsk.met-trans.ru,Новосибирск,,,(383) 249-87-48,3832498748,nsk@met-trans.ru,"ул. Станционная, д. 30А, оф. 820",Россия,(962) 829-87-48,(962) 829-87-48,https://yandex.ru/maps/org/mettransterminal/115613943101/?ll=82.853108%2C54.998384&z=14,https://2gis.ru/novosibirsk/firm/70000001029344329,"https://www.google.com/maps/place/%D0%9C%D0%B5%D1%82%D0%A2%D1%80%D0%B0%D0%BD%D1%81%D0%A2%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB/@54.998318,82.8519813,18.5z/data=!4m6!3m5!1s0x42dfe14b0b21faa9:0x2251f130c89bf911!8m2!3d54.9982329!4d82.8531758!16s%2Fg%2F11hbn2zzgs?entry=ttu"
novocherkassk.met-trans.ru,Новочеркасск,,,(800) 700-36-68,8007003668,novocherkassk@met-trans.ru,,Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/161467898741,,
n-urengoy.met-trans.ru,Новый Уренгой,,,(3494) 26-78-08,3494267808,n-urengoy@met-trans.ru,"пр-кт Ленинградский, д. 4А",Россия,(982) 938-77-36,(982) 938-77-36,https://yandex.ru/maps/org/mettransterminal/3957832739/?ll=76.672125%2C66.082782&z=16,https://2gis.ru/n_urengoy/firm/70000001044686248,
omsk.met-trans.ru,Омск,,,(3812) 63-71-68,3812637168,omsk@met-trans.ru,"пр. Космический, д. 109к1",Россия,(902) 409-26-58,(902) 409-26-58,https://yandex.ru/maps/org/mettransterminal/89858182372/?ll=73.481867%2C54.987916&z=16,https://2gis.ru/omsk/firm/70000001044685198,
orel.met-trans.ru,Орёл,,,(800) 700-36-68,8007003668,orel@met-trans.ru,"ул. Михалицына, д. 10",Россия,(967) 862-03-58,(967) 862-03-58,https://yandex.ru/profile/65116109104,https://2gis.ru/orel/firm/70000001084205713,
orenburg.met-trans.ru,Оренбург,,,(3532) 42-66-58,3532426658,orenburg@met-trans.ru,"ул. Томилинская, д. 237",Россия,(902) 409-26-58,(902) 409-26-58,https://yandex.ru/maps/org/mettransterminal/11749732816/?ll=55.123132%2C51.796922&z=16,https://2gis.ru/orenburg/firm/70000001031468450,
