domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp,yandex_map_url,twogis_map_url,google_map_url
karaganda.steelborg.kz,Караганда,,,7 (7212) 94-55-04,7212945504,karaganda@steelborg.kz,"просп. Шахтёров, 40",Казахстан,,,https://yandex.ru/maps/org/steelborg/149583669366/?indoorLevel=1&ll=73.140013%2C49.784227&z=17,,https://g.co/kgs/DqteJ9n
steelborg.kz,Астана,,708-211-47-04,7 (7172) 26-90-96,7172269096;7082114704,astana@steelborg.kz,"просп. Рахимжана Кошкарбаева, 1/2",Казахстан,8-708-211-47-04,8-708-211-47-04,https://yandex.ru/maps/org/steelborg/21486860916/?ll=71.464862%2C51.128998&z=17,,https://g.co/kgs/cAXB2if
shymkent.steelborg.kz,Шымкент,,,7 (7252) 60-34-04,7252603404,shymkent@steelborg.kz,"проспект Байдибек би, 126/1",Казахстан,,,https://yandex.ru/maps/org/steelborg/217382504759/?ll=60.597465%2C56.838011&z=12,https://2gis.kz/shymkent/firm/70000001111014034?m=69.629442%2C42.387616%2F18.25,https://g.co/kgs/NW55QSo
steelborg.by,Минск,,,375 29 149 47 00,291494700,info@steelborg.by,"Интернациональная улица, 36",Беларусь,37529 149 47 00,37529 149 47 00,https://yandex.ru/maps/org/steelborg/240320440371/?ll=60.597636%2C56.837435&z=12,https://2gis.by/minsk/search/Steelborg/firm/70000001113441309/27.561543%2C53.904621?m=27.561038%2C53.903234%2F10.79,"https://www.google.com/maps/place/Steelborg/@53.9044612,27.5590276,17z/data=!3m1!4b1!4m6!3m5!1s0x46dbcffa55aaabab:0xa049b24ddd9cb56a!8m2!3d53.9044581!4d27.5616025!16s%2Fg%2F11zcskps29?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D"
steelborg.uz,Ташкент,,,998-90-138-36-38,901383638,info@steelborg.uz,"ул. Айбека, 18/1",Узбекистан,998-90-138-36-38,998-90-138-36-38,https://yandex.ru/maps/org/stilborg/199188943645/?ll=69.275011%2C41.296411&z=17,https://2gis.uz/tashkent/search/STEELBORG/firm/70000001110900076/69.27491%2C41.296325?m=69.279857%2C41.311554%2F10.79,https://maps.app.goo.gl/LSd3x8BvobF273hT7
steelborg.kg,Бишкек,,,996-773-244-773,773244773,info@steelborg.kg,"ул. Жусупа Абдрахманова, 170/1",Кыргызстан,,,https://yandex.ru/maps/org/steelborg/41637174132/?indoorLevel=1&ll=74.611040%2C42.873023&z=17,https://2gis.kg/bishkek/firm/70000001110853770?m=74.61129%2C42.873012%2F16,https://maps.app.goo.gl/KPuCY27SnP1jE7NL9
steelborg.az,Баку,,,994-10-241-75-33,102417533,info@steelborg.az,"ул. Узеира Гаджибекова, 62",Азербайджан,,,https://yandex.ru/maps/org/steelborg/233225331683/?ll=49.858412%2C40.376238&z=17,https://2gis.az/baku/firm/70000001115823674?m=49.858376%2C40.376283%2F16,"https://www.google.com/maps/place/Steelborg/@40.3762348,49.8557386,17z/data=!3m1!4b1!4m6!3m5!1s0x40307d7cc3a9c5d9:0x6f1d5bdeb7ab69a6!8m2!3d40.3762307!4d49.8583135!16s%2Fg%2F11zcsl500k?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D"
atyrau.steelborg.kz,Атырау,,,7122 75-39-11,7122753911,atyrau@steelborg.kz,"​Махамбета Утемисова улица, 120а",Казахстан,,,https://yandex.ru/maps/org/steelborg/153921733868/?indoorLevel=1&ll=51.931176%2C47.102365&z=17,https://2gis.kz/atyrau/firm/70000001111823262?m=51.931139%2C47.102249%2F16,https://g.co/kgs/PBtDtZS
aktobe.steelborg.kz,Актобе,,,7132-73-61-02,7132736102,aktobe@steelborg.kz,"Набережная улица, д. 81б",Казахстан,,,https://yandex.ru/maps/org/steelborg/69572395550/?ll=57.233876%2C50.293570&z=17,https://2gis.kz/aktobe/search/Steelborg/firm/70000001113346011/57.23392%2C50.293646?m=57.154111%2C50.300593%2F10.79,
kostanay.steelborg.kz,Костанай,,,708-211-47-57,7082114757,kostanay@steelborg.kz,"ул. Карбышева, 2",Казахстан,,,https://yandex.ru/maps/org/steelborg/71549385050/?ll=60.597465%2C56.838011&z=12,https://2gis.kz/kostanaj/search/Steelborg/firm/70000001105706316/63.589961%2C53.206765?m=63.631865%2C53.215006%2F10.79,
petropavlovsk.steelborg.kz,Петропавловск,,,708-211-48-26,7082114826,petropavlovsk@steelborg.kz,"ул. Карима Сутюшева, д. 60А",Казахстан,,,https://yandex.ru/maps/org/steelborg/54314309845/?ll=69.133176%2C54.865352&z=17,,
aktau.steelborg.kz,Актау,,,708-211-47-79,7082114779,aktau@steelborg.kz,"​17-й микрорайон, 22",Казахстан,,,https://yandex.ru/maps/org/steelborg/186228084693/?ll=60.597465%2C56.838011&z=12,https://2gis.kz/aktau/firm/70000001111054498?m=51.138665%2C43.669763%2F16,
uralsk.steelborg.kz,Уральск,,,708-211-47-95,7082114795,uralsk@steelborg.kz,"ул. Кайрата Жумагалиева, 127а",Казахстан,,,https://yandex.ru/maps/org/steelborg/12942035972/?ll=60.597465%2C56.838011&z=12,https://2gis.kz/uralsk/firm/70000001111028720?m=51.387413%2C51.20451%2F16,
pavlodar.steelborg.kz,Павлодар,,,7182-78-23-04,7182782304,pavlodar@steelborg.kz,"ул. Ленинградская, 106",Казахстан,,,https://yandex.ru/maps/org/steelborg/166602052454/?ll=76.985602%2C52.287792&z=17,https://2gis.kz/pavlodar/search/Steelborg/firm/70000001113299225/76.985489%2C52.287713?m=76.941208%2C52.285943%2F10.79,https://g.co/kgs/Ur4w951
ust-kamenogorsk.steelborg.kz,Усть-Каменогорск,,,7232-91-04-21,7232910421,ust-kamenogorsk@steelborg.kz,"ул. Кабанбай батыра, 87/2",Казахстан,,,https://yandex.ru/maps/org/steelborg/58507343234/?ll=60.597465%2C56.838011&z=12,https://2gis.kz/ust-kamenogorsk/firm/70000001109769353?m=82.639289%2C49.948824%2F16,https://g.co/kgs/uaABpMp
taraz.steelborg.kz,Тараз,,,7262-97-09-11,7262970911,taraz@steelborg.kz,"проспект Толе би, 93а",Казахстан,,,https://yandex.ru/maps/org/steelborg/42329653568/?ll=60.597465%2C56.838011&z=12,,
kyzylorda.steelborg.kz,Кызылорда,,,7242-92-51-05,7242925105,kyzylorda@steelborg.kz,"ул. Алихана Бокейхана, 95",Казахстан,,,https://yandex.ru/maps/org/steelborg/86131543098/?ll=65.538344%2C44.828661&z=17,https://2gis.kz/kyzylorda/search/Steelborg/firm/70000001113300026/65.538422%2C44.828576?m=65.502569%2C44.825284%2F10.79,
semey.steelborg.kz,Семей,,,708-500-31-29,7085003129,semey@steelborg.kz,"ул. Абая, 99в",Казахстан,,,https://yandex.ru/maps/org/steelborg/202839073510/?ll=80.245633%2C50.404792&z=17,https://2gis.kz/semej/search/%D0%A1%D0%B5%D0%BC%D0%B5%D0%B9%20Steelborg/firm/70000001109648162/80.245877%2C50.404879?m=80.245895%2C50.404864%2F17.79,
