domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp
dzerzhinsk.aviastal.ru,Дзержинск,,,8 (831) 414-40-86,8314144086;9625563974,dzerzhinsk@aviastal.ru,Циолковского 15/1,Россия,,89625563974.0
dimitrovgrad.aviastal.ru,Димитровград,,,8 (846) 267-10-74,8462671074;9033660443,dimitrovgrad@aviastal.ru,"ул. Ганенкова, 55",Россия,,89033660443.0
dolgoprudnyj.aviastal.ru,Долгопрудный,,,8 (495) 755-36-18,4957553618;9033660443,dolgoprudnyj@aviastal.ru,"Лихачёвский пр., 4, стр. 1",Россия,,89033660443.0
domodedovo.aviastal.ru,Домодедово,,,8 (495) 755-36-18,4957553618;9033660443,domodedovo@aviastal.ru,"Каширское ш., 7",Россия,,89033660443.0
doneck.aviastal.ru,Донецк,,,8(800)700-36-89,8007003689,doneck@aviastal.ru,"Марьинская ул., 1",Украина,,903-366-04-43 (Ватсап)+тг
evpatoriya.aviastal.ru,Евпатория,,,8 (861) 944-64-68,8619446468;9034116468,evpatoriya@aviastal.ru,"пр-т Победы, 73А",Россия,,89034116468.0
ekb.aviastal.ru,Екатеринбург,7 (343) 266-30-81/903-086-30-81,7 (343) 266-30-81/903-086-30-81,8(343)200-33-88,3432003388;9089082318;3432663081,ekb@aviastal.ru,"Завокзальная ул., 5а",Россия,,"903-366-04-43 - тг
79089082318 - Ватсап"
aviastal.am,Ереван,,,8(962)386-88-83,9623868883,info@aviastal.am,"г. Ереван, ул. Мовсеса Хоренаци, 15",Армения,,903-411-64-68 (Ватсап)+тг
essentuki.aviastal.ru,Ессентуки,,,8 (861) 944-64-68,8619446468;9034116468,essentuki@aviastal.ru,"Пятигорская ул., 139",Россия,,89034116468.0
zhukovskij.aviastal.ru,Жуковский,,,"8 (903) 366-04-43
(стар. 8 (495) 755-36-18)",9033660443;4957553618,zhukovskij@aviastal.ru,"ул. Мясищева, 1",Россия,,89033660443.0
zlatoust.aviastal.ru,Златоуст,,,"8 (962) 487-65-31
(стар. 8 (351) 216-65-31)",9624876531;3512166531,zlatoust@aviastal.ru,"просп. имени Ю.А. Гагарина, 1-я линия, 12А",Россия,,89624876531.0
ivanovo.aviastal.ru,Иваново,,,"8 (903) 366-04-43
(стар. 8 (4852) 66-29-46)",9033660443,ivanovo@aviastal.ru,"ул. Парижской Коммуны, 3А",Россия,,89033660443.0
izhevsk.aviastal.ru,Ижевск,,,8 (341)232-30-84,3412323084,izhevsk@aviastal.ru,"пл. 50 лет Октября, д. 6, № 18",Россия,,964-190-18-98 (Ватсап)+тг
irkutsk.aviastal.ru,Иркутск,,,8(395)257-93-87,3952579387,irkutsk@aviastal.ru,"улица Розы Люксембург, 184, оф.404",Россия,,962-058-31-76  (Ватсап)+тг
yoshkar-ola.aviastal.ru,Йошкар-Ола,,,8 (843) 216-39-74,8432163974;9625563974,yoshkar-ola@aviastal.ru,"​Красноармейская улица, 84а",Россия,,89625563974.0
kazan.aviastal.ru,Казань,,,8(843)216-39-74,8432163974,kazan@aviastal.ru,"улица Восстания, 100к266Д № помещения 312",Россия,,962-556-39-74 (Ватсап)+тг
kaliningrad.aviastal.ru,Калининград,,,"8 (962) 686-43-38
(стар. 8 (812) 986-43-38)",9626864338;8129864338,kaliningrad@aviastal.ru,"​Московский проспект, 40",Россия,,89626864338.0
kaluga.aviastal.ru,Калуга,,,"8 (903) 366-04-43
(стар. 8 (487) 238-54-05)",9033660443;4872385405,kaluga@aviastal.ru,"ул. Гагарина, 4",Россия,,89033660443.0
kamensk-uralskiy.aviastal.ru,Каменск-Уральский,,,"8 (903) 366-04-43
(стар. 8 (343) 290-98-78)",9033660443;3432909878,kamensk-uralskiy@aviastal.ru,"ул. Кунавина, 2",Россия,,89033660443.0
kamyshin.aviastal.ru,Камышин,,,"8 (903) 411-64-68
(стар. 8 (844) 260-99-52)",9034116468;8442609952,kamyshin@aviastal.ru,"Октябрьская ул., 60",Россия,,89034116468.0
kant.aviastal.kg,Кант,,,,,Kant@aviastal.kg,пока не делаем,Киргизия,,
kara.aviastal.kg,Кара-Балта,,,,,Kara@aviastal.kg,пока не делаем,Киргизия,,
krg.aviastal.kz,Караганда,,,8(721)294-55-08,7212945508,karaganda@aviastal.kz,"ул. Гоголя, 86",Казахстан,,700-770-49-63 (Ватсап)+тг
karakol.aviastal.kg,Каракол,,,,,Karakol@aviastal.kg,пока не делаем,Киргизия,,
karshi.aviastal.uz,Карши,,,,,karshi.aviastal.uz,пока не делаем,Узбекистан,,
kaspiysk.aviastal.ru,Каспийск,,,8 (861) 944-64-68,8619446468;9034116468,kaspiysk@aviastal.ru,"ул. Ленина, 52Ж",Россия,,79034116468.0
kemerovo.aviastal.ru,Кемерово,,,8(384)224-02-57,3842240257,kemerovo@aviastal.ru,ул. Космическая 9а,Россия,,962-058-31-76  (Ватсап)+тг
kerch.aviastal.ru,Керчь,,,"8 (903) 411-64-68
(стар. 8 (861) 944-64-68)",9034116468;8619446468,kerch@aviastal.ru,"Адмиралтейский пр., 3",Россия,,89034116468.0
kirov.aviastal.ru,Киров,,,"8 (833) 220-50-34
(стар. 8 (843) 216-39-74)",8332205034;8432163974;9625563974,kirov@aviastal.ru,"ул. Володарского, 171, Первомайский район, Киров",Россия,,89625563974.0
kislovodsk.aviastal.ru,Кисловодск,,,8 (861) 944-64-68,8619446468;9034116468,kislovodsk@aviastal.ru,"просп. Победы, 94",Россия,,89034116468.0
kovrov.aviastal.ru,Ковров,,,"8 (903) 366-04-43
(стар. 8 (495) 755-36-18)",9033660443;4957553618,kovrov@aviastal.ru,"​Проспект Ленина, 49/1",Россия,,89033660443.0
kokand.aviastal.uz,Коканд,,,,,Kokand.aviastal.uz,пока не делаем,Узбекистан,,
kolomna.aviastal.ru,Коломна,,,"8 (903) 366-04-43
(стар. 8 (487) 238-54-05)",9033660443;4872385405,kolomna@aviastal.ru,"ул. Добролюбова, 15А",Россия,,89033660443.0
komsomolsk-na-amure.aviastal.ru,Комсомольск-на-Амуре,,,"8 (962) 058-31-76
(стар. 8 (4212) 60-19-28)",9620583176,komsomolsk-na-amure@aviastal.ru,"Красногвардейская ул., 18",Россия,,89620583176.0
kopeysk.aviastal.ru,Копейск,,,8 (351) 216-65-31,3512166531;9624876531,kopeysk@aviastal.ru,"ул. Темника, 20/2",Россия,,89624876531.0
korolev.aviastal.ru,Королёв,,,"8 (903) 366-04-43
(стар. 8 (495) 755-36-18)",9033660443;4957553618,korolev@aviastal.ru,"ул. Фрунзе, 1А",Россия,,89033660443.0
kostanay.aviastal.kz,Костанай,,,+7 700 6971612,7006971612,kostanay@aviastal.kz,"ул. 1 Мая, 90/2",Казахстан,,700-770-49-63 (Ватсап)+тг
kostroma.aviastal.ru,Кострома,,,"8 (903) 366-04-43
(стар. 8 (4852) 66-29-46)",9033660443,kostroma@aviastal.ru,"Ленина, 20",Россия,,89033660443.0
kotajk.aviastal.am,Котайк,,,,,kotajk@aviastal.am,пока не делаем,Армения,,
krasnogorsk.aviastal.ru,Красногорск,,,"8 (903) 366-04-43
(стар. 8 (495) 755-36-18)",9033660443;4957553618,krasnogorsk@aviastal.ru,"Ильинское ш., 1А",Россия,,89033660443.0
krasnodar.aviastal.ru,Краснодар,7 (861) 944-16-86/903-411-16-86,7 (861) 944-16-86/903-411-16-86,8(861)944-64-68,8619446468;8619441686,krasnodar@aviastal.ru,"Новоросийская 236/1 Литер А, офис 110",Россия,,903-411-64-68 (Ватсап)+тг
krasnoyarsk.aviastal.ru,Красноярск,,,8(391) 271-75-19,3912717519,krasnoyarsk@aviastal.ru,"ул. Борисова 14 стр. 7, офис 209",Россия,,962-058-31-76  (Ватсап)+тг
kurgan.aviastal.ru,Курган,,,"8 (962) 487-65-31
(стар. 8 (351) 216-65-31)",9624876531;3512166531,kurgan@aviastal.ru,"​Кравченко, 55",Россия,,89624876531.0
kursk.aviastal.ru,Курск,,,"8 (4712) 22-05-06
(стар. 8 (473) 251-41-03)",4732514103;9033660443,kursk@aviastal.ru,"ул. Марата, 21",Россия,,89033660443.0
kyzyl.aviastal.ru,Кызыл,,,"8 (962) 058-31-76
(стар. 8 (385) 225-26-58)",9620583176;3852252658,kyzyl@aviastal.ru,"ул. Тувинских Добровольцев, 29",Россия,,89620583176.0
kyzyl.aviastal.kg,Кызыл-Кия,,,,,Kyzyl@aviastal.kg,пока не делаем,Киргизия,,
kyzylorda.aviastal.kz,Кызылорда,,,+7 700 6971612,7006971612,kyzylorda@aviastal.kz,"ул. Муратбаева, 13",Казахстан,,700-770-49-63 (Ватсап)+тг
lipeck.aviastal.ru,Липецк,,,"8 (4742) 37-70-18
(стар. 8 (487) 238-54-05)",4872385405;9033660443,lipeck@aviastal.ru,"ул. имени Семашко, 1",Россия,,89033660443.0
lori.aviastal.am,Лори,,,,,lori@aviastal.am,пока не делаем,Армения,,
lugansk.aviastal.ru,Луганск,,,8(800)700-36-89,8007003689,lugansk@aviastal.ru,"Советская ул., 48",Украина,,903-366-04-43 (Ватсап)+тг
lyubercy.aviastal.ru,Люберцы,,,8 (495) 755-36-18,4957553618;9033660443,lyubercy@aviastal.ru,"Октябрьский просп., 1",Россия,,89033660443.0
magnitogorsk.aviastal.ru,Магнитогорск,,,8 (351) 216-65-31,3512166531;9624876531,magnitogorsk@aviastal.ru,"просп. Ленина, 130",Россия,,89624876531.0
maykop.aviastal.ru,Майкоп,,,"89034116468
(стар. 8 (861) 944-64-68)",9034116468;8619446468,maykop@aviastal.ru,"ул. Юннатов, 9",Россия,,89034116468.0
margilan.aviastal.uz,Маргилан,,,,,margilan.aviastal.uz,пока не делаем,Узбекистан,,
mariupol.aviastal.ru,Мариуполь,,,8(800)700-36-89,8007003689,mariupol@aviastal.ru,"Итальянская ул., 116А",Украина,,903-366-04-43 (Ватсап)+тг
mahachkala.aviastal.ru,Махачкала,,,"8 (903) 411-64-68
(стар. 8 (861) 944-64-68)",9034116468;8619446468,mahachkala@aviastal.ru,"ул. Магомеда Ярагского, 61",Россия,,89034116468.0
melitopol.aviastal.ru,Мелитополь,,,8(800)700-36-89,8007003689,melitopol@aviastal.ru,"Гетьмана Сагайдачного, 25",Украина,,903-366-04-43 (Ватсап)+тг
miass.aviastal.ru,Миасс,,,"8 (962) 487-65-31
(стар. 8 (351) 216-65-31)",9624876531;3512166531,miass@aviastal.ru,"ул. 8 Июля, 12",Россия,,89624876531.0
mingechevir.aviasteel.az,Мингечевир/Мингечаур,,,,,Mingechevir@AVIASTEEL.AZ,пока не делаем,Азербайджан,,
aviastal.by,Минск,,,375(44)503-88-86,445038886,minsk@aviastal.by,"Партизанский проспект, 178",Беларусь,,375(44)503-88-86 ва+тг
mihaylovsk.aviastal.ru,Михайловск,,,"8 (903) 411-64-68
(стар. 8 (861) 944-64-68)",9034116468;8619446468,mihaylovsk@aviastal.ru,"ул. Ленина, 161/5",Россия,,89034116468.0
mogilev.aviastal.by,Могилев,,,375(44)503-88-86,445038886,mogilev@aviastal.by,"Могилев, ул.Челюскинцев,137,",Беларусь,,375(44)503-88-86 ва+тг
aviastal.ru,Москва,7 (499) 130-05-86/903-130-05-86,7 (499) 130-05-86/903-130-05-86,8(495)755-36-18,4957553618;4991300586,moscow@aviastal.ru,"ул. Авиамоторная, д.50, стр.2, этаж 3, помещение XIV, комната – 36, офис 2",Россия,,903-755-36-18 (Ватсап)+тг
murino.aviastal.ru,Мурино,,,"8 (962) 686-43-38
(стар.8 (812) 986-43-38)",9626864338;8129864338,murino@aviastal.ru,"Центральная ул., 46,",Россия,,89626864338.0
murmansk.aviastal.ru,Мурманск,,,"8 (962) 686-43-38
(стар. 8 (812) 986-43-38)",9626864338;8129864338,murmansk@aviastal.ru,"ул. Карла Либкнехта, 27А",Россия,,89626864338.0
murom.aviastal.ru,Муром,,,"8 (962) 556-39-74
(стар. 8 (831) 414-40-86)",9625563974;8314144086,murom@aviastal.ru,"ул. Куликова, 7А",Россия,,89625563974.0
mytishchi.aviastal.ru,Мытищи,,,8 (495) 755-36-18,4957553618;9033660443,mytishchi@aviastal.ru,"ул. Колпакова, 24А",Россия,,89033660443.0
naberezhnye-chelny.aviastal.ru,Набережные Челны,,,"8 (8552) 20-00-56
(стар. 8 (843) 216-39-74)",8432163974;9625563974,naberezhnye-chelny@aviastal.ru,"пр-кт Сююмбике, д. 16",Россия,,89625563974.0
nazran.aviastal.ru,Назрань,,,"8 (903) 411-64-68
(стар. 8 (861) 944-64-68)",9034116468;8619446468,nazran@aviastal.ru,"ул. Тангиева, 2/3",Россия,,89034116468.0
nalchik.aviastal.ru,Нальчик,,,"8 (903) 411-64-68
(стар. 8 (861) 944-64-68)",9034116468;8619446468,nalchik@aviastal.ru,"ул. Пачева, 13",Россия,,89034116468.0
namangan.aviastal.uz,Наманган,,,,,namangan.aviastal.uz,пока не делаем,Узбекистан,,
nahichevan.aviasteel.az,Нахичевань /Нахчыван,,,,,Nahichevan@AVIASTEEL.AZ,пока не делаем,Азербайджан,,
nahodka.aviastal.ru,Находка,,,"8 (962) 058-31-76
(стар. 8 (4212) 60-19-28)",9620583176,nahodka@aviastal.ru,"Находкинский просп., 12,",Россия,,89620583176.0
nevinnomyssk.aviastal.ru,Невинномысск,,,"8 (903) 411-64-68
(стар. 8 (861) 944-64-68)",9034116468;8619446468,nevinnomyssk@aviastal.ru,"Монтажная ул., 5",Россия,,89034116468.0
neftekamsk.aviastal.ru,Нефтекамск,,,8 (347) 299-66-54,3472996654;9033660443,neftekamsk@aviastal.ru,"ул. Ленина, 17",Россия,,89033660443.0
nefteyugansk.aviastal.ru,Нефтеюганск,,,8 (3462) 90-50-88,9033660443,nefteyugansk@aviastal.ru,"ул. Нефтяников, 28",Россия,,89033660443.0
nizhnevartovsk.aviastal.ru,Нижневартовск,,,8(346)622-15-88,3466221588,nizhnevartovsk@aviastal.ru,"ул. Пионерская 12, №38",Россия,,903-366-04-43 (Ватсап)+тг
nizhnekamsk.aviastal.ru,Нижнекамск,,,8 (843) 216-39-74,8432163974;9625563974,nizhnekamsk@aviastal.ru,"просп. Строителей, 20",Россия,,89625563974.0
nn.aviastal.ru,Нижний Новгород,7 (831) 212-98-86/963-232-98-86,7 (831) 212-98-86/963-232-98-86,8(831)414-40-86,8314144086;8312129886,nn@aviastal.ru,"Чаадаева, 3Б, офис 316",Россия,,962-556-39-74 (Ватсап)+тг
nizhnij-tagil.aviastal.ru,Нижний Тагил,,,8 (343) 290-98-78,3432909878;9033660443,nizhnij-tagil@aviastal.ru,"​Красноармейская, 9",Россия,,89033660443.0
novokuznetsk.aviastal.ru,Новокузнецк,,,8(384)320-99-82,3843209982,novokuznetsk@aviastal.ru,"Новокузнецк, проспект Бардина, дом 14, оф.503А",Россия,,962-058-31-76  (Ватсап)+тг
novomoskovsk.aviastal.ru,Новомосковск,,,8 (487) 238-54-05,4872385405;9037553618,novomoskovsk@aviastal.ru,"ул. Шахтёров, 14",Россия,,79037553618.0
novorossijsk.aviastal.ru,Новороссийск,,,8 (861) 944-64-68,8619446468;9034116468,novorossijsk@aviastal.ru,"ул. Советов, 42",Россия,,89034116468.0
nsk.aviastal.ru,Новосибирск,7 (383) 258-86-80/962-838-86-80,7 (383) 258-86-80/962-838-86-80,8(383)255-73-36,3832557336;3832588680,nsk@aviastal.ru,"г. Новосибирск, ул. Фрунзе, д. 86",Россия,,962-058-31-76  (Ватсап)+тг
novocheboksarsk.aviastal.ru,Новочебоксарск,,,"8 (962) 556-39-74
(стар. 8 (843) 216-39-74)",9625563974;8432163974,novocheboksarsk@aviastal.ru,"Советская ул., 45А",Россия,,89625563974.0
novocherkassk.aviastal.ru,Новочеркасск,,,8 (863) 206-68-85,8632066885;9034116468,novocherkassk@aviastal.ru,"просп. Ермака, 106",Россия,,89034116468.0
novoshahtinsk.aviastal.ru,Новошахтинск,,,"8 (903) 411-64-68
(стар. 8 (863) 206-68-85)",9034116468;8632066885,novoshahtinsk@aviastal.ru,"Харьковская ул., 56",Россия,,89034116468.0
noviy-urengoy.aviastal.ru,Новый Уренгой,,,8 (3462) 90-50-88,9033660443,noviy-urengoy@aviastal.ru,"просп. Губкина, 14А",Россия,,89033660443.0
noginsk.aviastal.ru,Ногинск,,,8 (495) 755-36-18,4957553618;9033660443,noginsk@aviastal.ru,"Лесная ул., 36",Россия,,89033660443.0
norilsk.aviastal.ru,Норильск,,,8 (3462) 90-50-88,9033660443,norilsk@aviastal.ru,"Ленинский просп., 35",Россия,,89033660443.0
noyabrsk.aviastal.ru,Ноябрьск,,,"8 (903) 366-04-43
(стар. 8 (3462) 90-50-88)",9033660443,noyabrsk@aviastal.ru,"просп. Мира, 88А",Россия,,89033660443.0
nukus.aviastal.uz,Нукус,,,,,nukus.aviastal.uz,пока не делаем,Узбекистан,,
obninsk.aviastal.ru,Обнинск,,,8 (487) 238-54-05,4872385405;9033660443,obninsk@aviastal.ru,"ул. Гурьянова, 21",Россия,,89033660443.0
odincovo.aviastal.ru,Одинцово,,,8 (495) 755-36-18,4957553618;9033660443,odincovo@aviastal.ru,"ул. Маршала Неделина, 6А",Россия,,89033660443.0
oktyabryskiy.aviastal.ru,Октябрьский,,,"8 (903) 366-04-4
(стар. 8 (347) 299-66-54)",3472996654;9033660443,oktyabryskiy@aviastal.ru,"ул. Садовое Кольцо, 117/2",Россия,,89033660443.0
omsk.aviastal.ru,Омск,,,8(381)263-31-76,3812633176,omsk@aviastal.ru,"ул. 20 лет РККА 179, офис 313",Россия,,962-058-31-76  (Ватсап)+тг
orel.aviastal.ru,Орёл,,,8 (487) 238-54-05,4872385405;9033660443,orel@aviastal.ru,"Площадь Мира, 3",Россия,,89033660443.0
orenburg.aviastal.ru,Оренбург,,,8(353)226-04-43,3532260443,orenburg@aviastal.ru,"пр. Мясокомбината, д.2, оф.№9",Россия,,903-366-04-43 (Ватсап)+тг
orekhovo-zuevo.aviastal.ru,Орехово-Зуево,,,"8 (903) 366-04-43
(стар. 8 (495) 755-36-18)",9033660443;4957553618,orekhovo-zuevo@aviastal.ru,"ул. Ленина, 99",Россия,,89033660443.0
orsk.aviastal.ru,Орск,,,8 (3532) 26-04-43,9033660443,orsk@aviastal.ru,"пр. Металлургов, 6А",Россия,,89033660443.0
osh.aviastal.kg,Ош,,,+996 223 96 76 88,,osh@aviastal.kg,"г. Ош, ул. ул. Абдыкадырова, 2А",Киргизия,,996-223-96-76-88 (Ватсап)+тг
pavlodar.aviastal.kz,Павлодар,,,8(718)278-10-15,7182781015,pavlodar@aviastal.kz,"улица Генерала Дюсенова, 106",Казахстан,,700-770-49-63 (Ватсап)+тг
penza.aviastal.ru,Пенза,,,"8 (8412) 30-02-38
(стар. 8 (846) 267-10-74)",8462671074;9033660443,penza@aviastal.ru,"просп. Победы, 97",Россия,,89033660443.0
pervouralsk.aviastal.ru,Первоуральск,,,8 (343) 290-98-78,3432909878;9033660443,pervouralsk@aviastal.ru,"ул. Вайнера, 2",Россия,,89033660443.0
perm.aviastal.ru,Пермь,,,8(342)259-18-98,3422591898,perm@aviastal.ru,"г. Пермь, ул. Героев Хасана, 68,офис 303",Россия,,964-190-18-98 (Ватсап)+тг
petrozavodsk.aviastal.ru,Петрозаводск,,,8 (812) 986-43-38,8129864338;9626864338,petrozavodsk@aviastal.ru,"ул. Куйбышева, 26",Россия,,89626864338.0
